name,phoneNumber,email,address,userAgent,hexcolor
"Baron Mante Jr.",789.839.7824,candida54@hotmail.com,"1786 Otha Alley
New Zolafort, IL 45291","Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/3.1)",#6dee62
"Jamey Buckridge I",+1-280-904-1179,shannon.erdman@hotmail.com,"16917 Smitham Land Apt. 987
Boehmville, AK 65754-9925","Mozilla/5.0 (Windows 98; Win 9x 4.90; sl-SI; rv:1.9.2.20) Gecko/20150502 Firefox/35.0",#434c76
"Vern White MD",564-657-9590,wmayer@mante.net,"34740 Witting Crossroad
Murraymouth, WV 17162","Mozilla/5.0 (X11; Linux i686; rv:7.0) Gecko/20180402 Firefox/36.0",#9e46b7
"Ellen Olson","(585) 453-8647",williamson.hobart@mayer.net,"41612 Preston Ranch
Armstronghaven, KY 00012-4320","Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; Trident/3.1)",#7e0985
"Jonathon Franecki",1-801-822-1256,waters.josie@goyette.com,"2010 Thiel Burg Suite 076
Port Amyside, OK 27727","Opera/8.78 (Windows NT 6.0; en-US) Presto/2.12.190 Version/10.00",#d8e130
"Mortimer Volkman","(254) 608-9646",lubowitz.liam@schowalter.com,"91134 Chaya Ways Apt. 386
Port Amparoville, AZ 57956","Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_1 rv:3.0; sl-SI) AppleWebKit/531.49.7 (KHTML, like Gecko) Version/4.0.3 Safari/531.49.7",#d52cd7
"Axel Hills",872.868.1731,crist.obie@hotmail.com,"6455 Monahan Common Suite 572
North Joellechester, AZ 50579","Opera/8.34 (X11; Linux x86_64; sl-SI) Presto/2.8.319 Version/11.00",#015ae2
"Lina Renner MD",549-897-4529,kdare@feest.org,"900 Judy Pines Suite 065
Stokesside, VT 40650","Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/4.1)",#02cc1e
"Prof. Gaston Zemlak MD",+1-391-695-3570,vhauck@hotmail.com,"3587 Boehm Oval
North Ida, CA 54858-8730","Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_2 rv:5.0; en-US) AppleWebKit/534.19.5 (KHTML, like Gecko) Version/5.0.2 Safari/534.19.5",#46926e
"Leonardo Mosciski",248.241.2266,dejuan50@gmail.com,"931 Maurine Mission
New Brady, NC 79865","Mozilla/5.0 (X11; Linux i686) AppleWebKit/5331 (KHTML, like Gecko) Chrome/37.0.892.0 Mobile Safari/5331",#d0f732
"Jace Labadie Sr.",1-562-570-9498,jcormier@hotmail.com,"982 Hillard Crossing
West Dolly, RI 50849-1005","Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/5.0)",#ddc9b3
"Dr. Hilbert Mayer","(942) 934-1920",nader.elmore@okeefe.info,"9333 Jacynthe Rest Suite 578
Lindgrenton, WV 15441","Opera/8.75 (Windows NT 5.01; sl-SI) Presto/2.8.223 Version/10.00",#61a2a9
"Glenna Dare I","(830) 407-2528",wunsch.cora@mills.info,"397 Collins Parks
North Timmothy, TX 24406-8199","Mozilla/5.0 (Windows NT 6.1; en-US; rv:1.9.2.20) Gecko/20140524 Firefox/35.0",#554157
"Tressie Langosh","(895) 358-7327",annamarie.stroman@king.com,"3946 Hackett Inlet
West Annabell, AZ 27152-5534","Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_3 rv:2.0) Gecko/20120218 Firefox/36.0",#8a4b35
"Leonor Abbott",980.309.4812,alek10@hotmail.com,"2479 Janessa Brook Apt. 909
Vanview, IN 13390-3944","Mozilla/5.0 (iPad; CPU OS 8_2_1 like Mac OS X; en-US) AppleWebKit/531.44.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6531.44.4",#ca6aba
"Leopold Wilderman Jr.","(582) 816-9140",tflatley@hotmail.com,"9358 Brown Shore Apt. 076
Dillanstad, NY 69041","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/5332 (KHTML, like Gecko) Chrome/39.0.849.0 Mobile Safari/5332",#bae303
"Ms. Shanna Kihn",1-601-470-1648,wunsch.nia@keebler.com,"666 Muller Glen Suite 046
Strosinview, CT 62377","Mozilla/5.0 (Windows NT 5.2) AppleWebKit/5331 (KHTML, like Gecko) Chrome/39.0.837.0 Mobile Safari/5331",#f4758f
"Pearline Powlowski",+1.317.804.5833,dena.dickens@gmail.com,"58407 Mante Pine
Port Layne, MN 70552-8520","Mozilla/5.0 (iPad; CPU OS 7_2_2 like Mac OS X; en-US) AppleWebKit/533.11.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6533.11.5",#18766c
"Prof. Loren Zemlak",+1.594.953.9194,allie48@gmail.com,"293 Russel Creek Apt. 942
Altabury, NE 79436-6591","Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/3.0)",#5bd828
"Dr. Leon Okuneva","+1 (939) 371-5925",nigel38@gmail.com,"3548 Frederick Terrace Suite 756
Lake Green, IN 31531","Opera/8.96 (X11; Linux i686; sl-SI) Presto/2.10.348 Version/11.00",#c997f5
"Clyde Cole",480.718.3876,melvina87@yahoo.com,"4808 Camille Track
West Elfriedastad, MA 48435","Mozilla/5.0 (iPad; CPU OS 7_0_2 like Mac OS X; sl-SI) AppleWebKit/534.5.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6534.5.5",#e18c86
"Mathias West DVM","(609) 484-0509",icasper@gmail.com,"44288 Brando Mills
Gloverbury, GA 01908","Opera/9.36 (X11; Linux x86_64; en-US) Presto/2.10.237 Version/10.00",#e15676
"Maya Reilly",1-737-323-5489,mquigley@greenholt.com,"56917 Franecki Pass
Port Feltonshire, LA 57930","Opera/8.31 (X11; Linux i686; en-US) Presto/2.10.249 Version/12.00",#89106c
"Mr. Morton Schulist",380.580.4707,nestor92@yahoo.com,"1882 Windler Springs
Aracelifurt, TX 93055","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/4.0)",#9bf4ae
"Zack Conroy",910-764-7231,wilmer90@turcotte.com,"78305 Concepcion Path Suite 085
South Lorineberg, CT 73989-5015","Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_8) AppleWebKit/5331 (KHTML, like Gecko) Chrome/39.0.808.0 Mobile Safari/5331",#0d5b24
